    CK09P010  2011 12 21.3860  1.560771  0.999798   90.8473  326.0948  106.2378  20171014   4.0  4.0  C/2009 P1 (Garradd)                                      MPC103843
    CK09P020  2010 02  9.7985  6.528933  1.000367   76.1426   60.4931  163.4149  20171014   6.0  4.0  C/2009 P2 (Boattini)                                     MPC 76024
    PK09Q010  2022 05 26.5387  2.794085  0.493576  157.1817  173.9454   14.4982  20171014  11.5  4.0  P/2009 Q1 (Hill)                                         MPC 75710
    PK09Q040  2015 06 13.3146  1.313965  0.580588  320.0766  127.5312   10.9839  20171014  15.5  4.0  P/2009 Q4 (Boattini)                                     MPC 72850
    PK09Q050  2009 08 29.9063  2.928740  0.606798  209.1412  160.1846   40.8718  20171014  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC 68902
    CK09R010  2010 07  1.8522  0.414646  1.000395  130.9147  322.6330   76.9783  20171014   8.0  4.0  C/2009 R1 (McNaught)                                     MPC 82315
    CK09S030  2011 12 11.1921  6.465613  0.998961  129.7141  225.1754   60.4558  20171014   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC 87062
    PK09SS0K  2019 10 24.0255  4.209500  0.119015  327.9521   36.4167   16.8002  20171014  11.0  4.0  P/2009 SK280 (Spacewatch-Hill)                           MPC 78184
    CK09T010  2009 10  8.3926  6.225568  0.994279  282.6119   54.4679   90.0416  20171014   6.5  4.0  C/2009 T1 (McNaught)                                     MPC 76567
    PK09T020  2010 01  5.3361  1.816594  0.764982  216.6018  215.7171   27.4963  20171014  14.0  4.0  P/2009 T2 (La Sagra)                                     MPC 75711
    CK09T030  2010 01 12.5098  2.267763  0.999502   32.3916   60.1724  148.5958  20171014  12.5  4.0  C/2009 T3 (LINEAR)                                       MPC 82315
    CK09U030  2010 03 19.0789  1.423465  0.992041   77.9672   49.0654   51.0596  20171014  13.0  4.0  C/2009 U3 (Hill)                                         MPC 70812
    PK09U040  2021 02  2.0262  1.649667  0.675112  259.8342   55.3679   10.0808  20171014  14.0  4.0  P/2009 U4 (McNaught)                                     MPC 75711
    CK09U050  2010 06 23.4407  6.126793  1.004309   24.2522  121.0419   25.4463  20171014   7.0  4.0  C/2009 U5 (Grauer)                                       MPC 82315
    CK09U89G  2010 12 12.1013  3.939251  1.005188   60.6151  321.0556  130.1306  20171014   9.0  4.0  C/2009 UG89 (Lemmon)                                     MPC 82315
    CK09W020  2010 05  7.3977  6.911837  0.999354  121.6526  199.6260  164.5072  20171014   7.0  4.0  C/2009 W2 (Boattini)                                     MPC 72851
